user_id,item_id,rating,timestamp
1512496,0,5.0,1341100800
1850798,1,1.0,1367193600
2118940,1,3.0,1374451200
511952,1,1.0,1334707200
819547,2,5.0,1397433600
2810447,2,2.0,1397433600
2035871,2,5.0,1395878400
2354504,2,5.0,1395532800
3347120,2,5.0,1395446400
4200559,2,5.0,1401321600
413018,3,5.0,1405641600
1409799,3,1.0,1352073600
3840525,3,5.0,1370131200
3791496,3,1.0,1290643200
1369549,3,4.0,1280016000
2937103,3,3.0,1283990400
534992,3,2.0,1290556800
1505723,3,2.0,1277078400
1303288,3,4.0,1294790400
2454917,3,5.0,1293235200
1449589,3,4.0,1289001600
1434379,3,5.0,1284249600
3789301,3,1.0,1307836800
1860817,3,4.0,1278547200
2799583,3,1.0,1327363200
4165382,3,4.0,1398470400
1259393,3,2.0,1293580800
726542,3,1.0,1286582400
439075,3,5.0,1390867200
1442902,3,5.0,1294790400
2154561,3,1.0,1299974400
3932067,3,1.0,1296691200
306372,3,2.0,1340496000
2597060,3,5.0,1285113600
1249707,3,1.0,1317254400
3121036,3,1.0,1358035200
99253,3,2.0,1298851200
735675,4,3.0,1372550400
2119961,5,5.0,1379376000
1188121,5,5.0,1348790400
4194154,5,5.0,1395705600
1560010,6,1.0,1405296000
3467445,6,5.0,1404172800
2188793,6,1.0,1384300800
2493806,6,1.0,1377129600
548637,6,1.0,1374537600
3385041,6,1.0,1373932800
2759832,6,5.0,1374278400
2481532,6,1.0,1374105600
2365868,7,1.0,1323216000
2831918,8,3.0,1404432000
2562496,9,5.0,1405382400
3740147,9,4.0,1388620800
2155029,9,4.0,1300233600
2795356,9,5.0,1399420800
3850079,9,4.0,1394496000
1260191,10,5.0,1392422400
1974203,10,1.0,1397865600
1270730,10,4.0,1387584000
3647038,10,5.0,1389225600
494867,10,4.0,1398297600
2024571,10,5.0,1388102400
2684834,10,5.0,1392249600
2768637,10,5.0,1400976000
1812088,10,5.0,1390003200
2760670,10,4.0,1396483200
4159387,10,5.0,1393200000
1902237,10,5.0,1392422400
2778083,10,5.0,1395964800
1409761,10,5.0,1402876800
1505537,10,5.0,1403568000
947274,11,5.0,1359244800
3118375,11,5.0,1401235200
735629,12,4.0,1360108800
2370523,13,5.0,1380672000
1456762,14,3.0,1398556800
853634,14,5.0,1365379200
3215124,14,5.0,1359331200
546430,14,5.0,1392854400
1541187,14,5.0,1388016000
3620275,14,5.0,1380672000
4087557,15,5.0,1382313600
1240870,15,5.0,1389139200
2660177,16,5.0,1403827200
1727980,17,5.0,1388707200
861647,17,5.0,1404691200
1889232,17,2.0,1398556800
1300440,17,5.0,1400025600
3431195,17,5.0,1399161600
2900651,17,1.0,1388707200
3084645,17,4.0,1399075200
159315,17,5.0,1384646400
3554509,17,4.0,1405036800
2590644,17,5.0,1390176000
605171,17,5.0,1393545600
1870326,17,5.0,1384905600
145588,17,5.0,1396396800
1146715,17,5.0,1389657600
276412,18,5.0,1361232000
2516028,18,5.0,1388361600
1681113,18,4.0,1348185600
3877718,19,4.0,1389484800
947655,20,5.0,1390003200
3332367,20,4.0,1397606400
2761974,20,5.0,1399248000
2760558,20,5.0,1390176000
2000147,20,5.0,1403827200
3088354,20,4.0,1402876800
1447595,20,5.0,1399766400
3266042,20,5.0,1395964800
850647,20,1.0,1390003200
3826321,20,5.0,1372032000
1925164,20,3.0,1369440000
1601604,20,5.0,1402790400
3538153,20,5.0,1383868800
3831190,20,5.0,1394323200
1400058,20,1.0,1375401600
3986913,20,3.0,1377907200
598721,20,5.0,1389830400
1175161,20,1.0,1384732800
1511137,20,4.0,1385424000
3974683,20,5.0,1404864000
2031441,20,5.0,1395273600
497157,20,5.0,1400803200
1863905,20,4.0,1398643200
1298695,20,5.0,1401840000
904953,20,4.0,1399420800
3595231,20,3.0,1379462400
2956274,20,5.0,1404950400
4140767,20,5.0,1399248000
2064363,20,5.0,1368576000
1208585,20,5.0,1398643200
872194,20,4.0,1372291200
2508053,21,5.0,1403827200
3792374,21,5.0,1403654400
3815231,21,5.0,1398384000
1825848,21,5.0,1398816000
1747732,21,5.0,1399075200
501393,21,5.0,1370649600
11604,21,5.0,1399507200
574110,21,2.0,1382832000
3079720,21,5.0,1384473600
3428954,21,5.0,1395619200
1702839,21,4.0,1400284800
511959,21,5.0,1401235200
2446976,21,1.0,1403913600
4096904,22,4.0,1390176000
1404601,23,5.0,1398124800
2300380,23,5.0,1396828800
1491512,24,5.0,1389916800
4036868,24,4.0,1393372800
334121,25,5.0,1398988800
2669281,26,4.0,1386720000
2830320,27,5.0,1388534400
2558464,28,5.0,1394841600
2795181,28,3.0,1374278400
373619,29,5.0,1355011200
1546726,29,5.0,1355529600
210109,30,4.0,1321315200
2120171,31,5.0,1386892800
250511,31,3.0,1388534400
803636,31,4.0,1368057600
3682739,32,1.0,1312156800
1965204,32,4.0,1207699200
1949525,33,2.0,1103328000
637985,33,4.0,1104192000
2349545,33,3.0,1204848000
3489676,33,1.0,1180915200
3268086,33,1.0,1308528000
1377472,33,1.0,1141084800
1303907,33,1.0,1116806400
243066,33,1.0,1111449600
4052030,33,1.0,1133395200
3162833,33,1.0,1104537600
47644,34,5.0,1388448000
3380939,35,1.0,1330732800
2298973,35,1.0,1319673600
234834,35,4.0,1281744000
524147,35,5.0,1300492800
1208820,35,5.0,1359676800
3311330,36,5.0,1182816000
4062814,36,3.0,1323475200
360200,37,4.0,1405382400
4105742,37,4.0,1405209600
2426337,37,5.0,1405641600
3108093,37,4.0,1405987200
1142590,37,5.0,1405123200
